,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces,_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell (1).wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz, no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor,_Op_74.wav","Trio for Piano, Flute and Bassoon.wav","What_shall_I_make_of_you,_Ephraim.wav",piano-concerto-no1-in-g-minor.wav
0,-590.8096924,-724.6242065,-598.7957153,-530.9188232,-652.1575928,-706.1790161,-585.7479248,-540.2865601,-570.0366211,-760.0940552,-761.0552368,-761.0552368,-485.5836487,-708.3824463,-581.0248413,-737.9388428,-655.0766602,-541.4875488,-575.5050659
1,-546.5894775,-724.6242065,-598.7957153,-530.9188232,-652.1575928,-701.6020508,-585.7479248,-541.9003906,-570.0366211,-760.0940552,-762.6911011,-762.6911011,-383.3369446,-708.3824463,-572.315979,-737.9388428,-655.0766602,-537.1655273,-575.5050659
2,-520.7844849,-724.6242065,-598.7957153,-530.5126343,-652.1575928,-700.1565552,-585.7479248,-543.0895996,-569.8865356,-759.4840088,-763.0211792,-763.0211792,-325.7796021,-708.3824463,-562.8955078,-737.9388428,-655.0766602,-534.8668823,-575.5050659
3,-520.5372925,-724.6242065,-598.7957153,-528.5546875,-652.1575928,-697.3998413,-585.7479248,-540.7694702,-569.9363403,-757.5336914,-762.1990967,-762.1990967,-322.0535278,-708.3824463,-572.098938,-737.9388428,-655.0766602,-536.7297974,-575.5050659
4,-510.8722839,-724.6242065,-598.7957153,-528.3245239,-652.1575928,-691.7623901,-585.4006958,-536.9502563,-570.0366211,-755.8508911,-761.5821533,-761.5821533,-327.9234009,-708.3824463,-577.4659424,-737.9388428,-655.0766602,-536.899353,-575.5050659
5,-505.6614075,-724.6242065,-598.7957153,-528.8783569,-652.0968628,-689.6928711,-585.0256958,-537.2288818,-569.4871216,-753.156311,-760.75177,-760.75177,-330.6468201,-708.3824463,-572.0199585,-737.9388428,-655.0766602,-536.5887451,-575.5050659
6,-500.7232666,-724.6242065,-598.7957153,-526.7271729,-651.8305054,-689.7632446,-584.949646,-537.9186401,-568.5592651,-749.6871338,-758.171814,-758.171814,-331.3181152,-708.3824463,-574.2545166,-737.9388428,-655.0766602,-537.9667358,-575.5050659
7,-500.6715698,-723.9356079,-598.7957153,-526.475769,-651.383667,-684.9978638,-583.8726196,-536.7331543,-568.2913818,-747.7186279,-760.7043457,-760.7043457,-315.1543884,-708.3824463,-572.7346191,-737.9388428,-655.0766602,-538.0172729,-575.5050659
8,-512.0255127,-722.1871948,-598.7957153,-525.7805176,-649.7084351,-678.2327881,-582.612854,-536.9693604,-568.8279419,-747.1572876,-760.3545532,-760.3545532,-311.2033691,-708.3824463,-573.0612793,-737.9388428,-655.0766602,-539.6572876,-431.1858826
9,-514.4767456,-720.7166138,-598.7957153,-524.7141113,-647.2020264,-676.9034424,-581.5740356,-535.5072021,-567.2842407,-745.8095703,-759.7732544,-759.7732544,-315.390564,-708.3824463,-562.262085,-737.9388428,-655.0766602,-541.3737793,-214.7737579
10,-516.8067627,-720.5531006,-598.7957153,-524.812561,-645.1491089,-672.4810791,-581.5135498,-535.4659424,-565.7700806,-743.4498901,-760.4683228,-760.4683228,-315.9428101,-708.3824463,-563.0864868,-737.9388428,-655.0766602,-541.4875488,-134.3714294
11,-519.4215088,-719.6342773,-598.7957153,-523.7575684,-640.8635254,-671.6268921,-581.5296021,-535.2805176,-566.0686035,-741.3999023,-759.9474487,-759.9474487,-304.1892395,-708.3824463,-572.5318604,-737.9388428,-655.0766602,-541.4875488,-115.1600342
12,-518.0748901,-718.3151855,-598.7957153,-523.3866577,-636.3703003,-670.838501,-579.9244995,-533.2576904,-566.6871338,-739.1936646,-757.4699707,-757.4699707,-307.5914307,-708.3824463,-584.3782959,-737.9388428,-655.0766602,-541.4875488,-111.6604004
13,-514.7662354,-717.8513794,-598.7957153,-522.659729,-630.3139038,-664.4713135,-579.4182129,-529.7453003,-566.2078247,-737.5462036,-756.2458496,-756.2458496,-295.9528503,-708.3824463,-579.2159424,-737.9388428,-655.0766602,-541.4875488,-116.2798767
14,-511.9755249,-716.9741821,-598.7957153,-522.2266235,-623.0117798,-667.1681519,-578.1945801,-530.2900391,-564.451416,-737.2633667,-758.378418,-758.378418,-271.0739746,-708.3824463,-564.0245361,-737.9388428,-655.0766602,-541.4875488,-120.6702881
