,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces,_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell (1).wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz, no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor,_Op_74.wav","Trio for Piano, Flute and Bassoon.wav","What_shall_I_make_of_you,_Ephraim.wav",piano-concerto-no1-in-g-minor.wav,IA_AnotherRag.wav,IA_Bach.wav,IA_Beethoven.wav,IA_Breathless.wav,IA_Chopin.wav,IA_ComingHome.wav,IA_FromTheWillowsKeep.wav,IA_InventionNo1.wav,IA_InventionNo2.wav,IA_InventionNo3.wav,IA_Mahler.wav,IA_Mazurka.wav,IA_Messiaen.wav,IA_Mozart.wav,IA_MozartActI.wav,IA_MozartActII.wav,IA_Prescience.wav,IA_SonataI.wav,IA_SonataII.wav,IA_SpaceTime.wav,IA_Suite.wav,IA_\Vivaldi.wav
0,-590.8096924,-724.6242065,-598.7957153,-530.9188232,-652.1575928,-706.1790161,-585.7479248,-540.2865601,-570.0366211,-760.0940552,-761.0552368,-761.0552368,-485.5836487,-708.3824463,-581.0248413,-737.9388428,-655.0766602,-541.4875488,-575.5050659,-589.1185303,-510.3923035,-667.5968018,-741.3884888,-648.1878052,-715.5018311,-643.805542,-547.190918,-542.6010132,-540.3440552,-687.1738281,-557.2047729,-766.9663086,-510.3923035,-603.7063599,-596.7857666,-784.0861816,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
1,-546.5894775,-724.6242065,-598.7957153,-530.9188232,-652.1575928,-701.6020508,-585.7479248,-541.9003906,-570.0366211,-760.0940552,-762.6911011,-762.6911011,-383.3369446,-708.3824463,-572.315979,-737.9388428,-655.0766602,-537.1655273,-575.5050659,-589.1185303,-510.3923035,-667.5968018,-741.3884888,-648.1878052,-715.5018311,-190.2574615,-547.190918,-542.6010132,-540.3440552,-687.1738281,-557.2047729,-766.9663086,-510.3923035,-577.0476074,-596.7857666,-784.0861816,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
2,-520.7844849,-724.6242065,-598.7957153,-530.5126343,-652.1575928,-700.1565552,-585.7479248,-543.0895996,-569.8865356,-759.4840088,-763.0211792,-763.0211792,-325.7796021,-708.3824463,-562.8955078,-737.9388428,-655.0766602,-534.8668823,-575.5050659,-589.1185303,-510.3923035,-667.5968018,-675.7739868,-648.1878052,-645.2874146,-83.52105713,-547.190918,-542.6010132,-540.3440552,-687.1738281,-557.2047729,-766.9663086,-510.3923035,-574.012146,-596.7857666,-784.0861816,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
3,-520.5372925,-724.6242065,-598.7957153,-528.5546875,-652.1575928,-697.3998413,-585.7479248,-540.7694702,-569.9363403,-757.5336914,-762.1990967,-762.1990967,-322.0535278,-708.3824463,-572.098938,-737.9388428,-655.0766602,-536.7297974,-575.5050659,-589.1185303,-510.3923035,-667.5968018,-449.1626587,-648.1878052,-566.6130371,-85.78194427,-547.190918,-542.6010132,-540.3440552,-687.1738281,-557.2047729,-766.9663086,-510.3923035,-600.1201782,-596.7857666,-654.2593384,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
4,-510.8722839,-724.6242065,-598.7957153,-528.3245239,-652.1575928,-691.7623901,-585.4006958,-536.9502563,-570.0366211,-755.8508911,-761.5821533,-761.5821533,-327.9234009,-708.3824463,-577.4659424,-737.9388428,-655.0766602,-536.899353,-575.5050659,-589.1185303,-510.3923035,-667.5968018,-350.7984924,-648.1878052,-542.0012817,-147.9895782,-547.190918,-542.6010132,-540.3440552,-687.1738281,-557.2047729,-766.9663086,-510.3923035,-604.4291992,-596.7857666,-542.8843384,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
5,-505.6614075,-724.6242065,-598.7957153,-528.8783569,-652.0968628,-689.6928711,-585.0256958,-537.2288818,-569.4871216,-753.156311,-760.75177,-760.75177,-330.6468201,-708.3824463,-572.0199585,-737.9388428,-655.0766602,-536.5887451,-575.5050659,-589.1185303,-510.3923035,-667.5968018,-321.5227966,-648.1878052,-550.1182861,-179.7848358,-547.190918,-542.6010132,-540.3440552,-685.5144653,-557.2047729,-757.3623047,-510.3923035,-604.5154419,-596.7857666,-504.7927551,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
6,-500.7232666,-724.6242065,-598.7957153,-526.7271729,-651.8305054,-689.7632446,-584.949646,-537.9186401,-568.5592651,-749.6871338,-758.171814,-758.171814,-331.3181152,-708.3824463,-574.2545166,-737.9388428,-655.0766602,-537.9667358,-575.5050659,-589.1185303,-510.3923035,-667.5968018,-313.0611572,-648.1878052,-564.8146362,-179.113678,-547.190918,-542.6010132,-540.3440552,-671.1557007,-557.2047729,-700.8649292,-510.3923035,-604.5159302,-596.7857666,-499.5275879,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
7,-500.6715698,-723.9356079,-598.7957153,-526.475769,-651.383667,-684.9978638,-583.8726196,-536.7331543,-568.2913818,-747.7186279,-760.7043457,-760.7043457,-315.1543884,-708.3824463,-572.7346191,-737.9388428,-655.0766602,-538.0172729,-575.5050659,-589.1185303,-510.3923035,-666.1343384,-311.6047058,-648.1878052,-572.8522949,-176.9163971,-547.190918,-542.6010132,-540.3440552,-645.4470215,-557.2047729,-643.3334961,-510.3923035,-604.5169678,-596.7857666,-502.0623779,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
8,-512.0255127,-722.1871948,-598.7957153,-525.7805176,-649.7084351,-678.2327881,-582.612854,-536.9693604,-568.8279419,-747.1572876,-760.3545532,-760.3545532,-311.2033691,-708.3824463,-573.0612793,-737.9388428,-655.0766602,-539.6572876,-431.1858826,-589.1185303,-510.3923035,-662.4317017,-301.1691895,-648.1878052,-567.1970215,-179.4103241,-547.190918,-542.6010132,-540.3440552,-619.1286621,-557.2047729,-603.9714355,-510.3923035,-604.5163574,-596.7857666,-515.2915649,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
9,-514.4767456,-720.7166138,-598.7957153,-524.7141113,-647.2020264,-676.9034424,-581.5740356,-535.5072021,-567.2842407,-745.8095703,-759.7732544,-759.7732544,-315.390564,-708.3824463,-562.262085,-737.9388428,-655.0766602,-541.3737793,-214.7737579,-589.1185303,-510.3923035,-650.0232544,-280.09375,-648.1878052,-560.8216553,-183.5388489,-547.190918,-542.6010132,-540.3440552,-592.3469238,-557.2047729,-581.4644775,-510.3923035,-604.5162964,-596.7857666,-522.5533447,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
