,IA_AnotherRag.wav,IA_Bach.wav,IA_Beethoven.wav,IA_Breathless.wav,IA_Chopin.wav,IA_ComingHome.wav,IA_FromTheWillowsKeep.wav,IA_InventionNo1.wav,IA_InventionNo2.wav,IA_InventionNo3.wav,IA_Mahler.wav,IA_Mazurka.wav,IA_Messiaen.wav,IA_Mozart.wav,IA_MozartActI.wav,IA_MozartActII.wav,IA_Prescience.wav,IA_SonataI.wav,IA_SonataII.wav,IA_SpaceTime.wav,IA_Suite.wav,IA_\Vivaldi.wav
0,-589.1185303,-510.3923035,-667.5968018,-741.3884888,-648.1878052,-715.5018311,-643.805542,-547.190918,-542.6010132,-540.3440552,-687.1738281,-557.2047729,-766.9663086,-510.3923035,-603.7063599,-596.7857666,-784.0861816,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
1,-589.1185303,-510.3923035,-667.5968018,-741.3884888,-648.1878052,-715.5018311,-190.2574615,-547.190918,-542.6010132,-540.3440552,-687.1738281,-557.2047729,-766.9663086,-510.3923035,-577.0476074,-596.7857666,-784.0861816,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
2,-589.1185303,-510.3923035,-667.5968018,-675.7739868,-648.1878052,-645.2874146,-83.52105713,-547.190918,-542.6010132,-540.3440552,-687.1738281,-557.2047729,-766.9663086,-510.3923035,-574.012146,-596.7857666,-784.0861816,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
3,-589.1185303,-510.3923035,-667.5968018,-449.1626587,-648.1878052,-566.6130371,-85.78194427,-547.190918,-542.6010132,-540.3440552,-687.1738281,-557.2047729,-766.9663086,-510.3923035,-600.1201782,-596.7857666,-654.2593384,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
4,-589.1185303,-510.3923035,-667.5968018,-350.7984924,-648.1878052,-542.0012817,-147.9895782,-547.190918,-542.6010132,-540.3440552,-687.1738281,-557.2047729,-766.9663086,-510.3923035,-604.4291992,-596.7857666,-542.8843384,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
5,-589.1185303,-510.3923035,-667.5968018,-321.5227966,-648.1878052,-550.1182861,-179.7848358,-547.190918,-542.6010132,-540.3440552,-685.5144653,-557.2047729,-757.3623047,-510.3923035,-604.5154419,-596.7857666,-504.7927551,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
6,-589.1185303,-510.3923035,-667.5968018,-313.0611572,-648.1878052,-564.8146362,-179.113678,-547.190918,-542.6010132,-540.3440552,-671.1557007,-557.2047729,-700.8649292,-510.3923035,-604.5159302,-596.7857666,-499.5275879,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
7,-589.1185303,-510.3923035,-666.1343384,-311.6047058,-648.1878052,-572.8522949,-176.9163971,-547.190918,-542.6010132,-540.3440552,-645.4470215,-557.2047729,-643.3334961,-510.3923035,-604.5169678,-596.7857666,-502.0623779,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
8,-589.1185303,-510.3923035,-662.4317017,-301.1691895,-648.1878052,-567.1970215,-179.4103241,-547.190918,-542.6010132,-540.3440552,-619.1286621,-557.2047729,-603.9714355,-510.3923035,-604.5163574,-596.7857666,-515.2915649,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
9,-589.1185303,-510.3923035,-650.0232544,-280.09375,-648.1878052,-560.8216553,-183.5388489,-547.190918,-542.6010132,-540.3440552,-592.3469238,-557.2047729,-581.4644775,-510.3923035,-604.5162964,-596.7857666,-522.5533447,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
10,-589.1185303,-510.3923035,-633.8756104,-275.0045776,-648.1878052,-557.3606567,-185.838028,-547.190918,-542.6010132,-540.3440552,-574.4558716,-557.2047729,-568.1105957,-510.3923035,-604.5172729,-596.7857666,-532.2713623,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
11,-589.1185303,-510.3923035,-617.0110474,-280.6559448,-648.1878052,-552.2807007,-189.1785889,-547.190918,-542.6010132,-540.3440552,-555.9940186,-557.2047729,-554.7155762,-510.3923035,-604.5172729,-596.7857666,-538.5881958,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
12,-589.1185303,-510.3923035,-602.4822388,-285.7715149,-648.1878052,-553.350647,-187.4960175,-547.190918,-542.6010132,-540.3440552,-543.6987915,-557.2047729,-541.230835,-510.3923035,-604.517395,-596.7857666,-540.6973877,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
13,-589.1185303,-510.3923035,-592.40802,-288.8146973,-648.1878052,-554.104187,-189.7275696,-547.190918,-542.6010132,-540.3440552,-538.2984009,-557.2047729,-532.4030762,-510.3923035,-604.5181885,-596.7857666,-547.5339966,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
14,-589.1185303,-510.3923035,-583.5234375,-288.2319336,-648.1878052,-550.5151367,-190.8872528,-547.190918,-542.6010132,-540.3440552,-535.0404663,-557.2047729,-522.211853,-510.3923035,-604.5179443,-596.7857666,-559.9768677,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
15,-589.1185303,-510.3923035,-575.4645996,-291.4037781,-648.1878052,-546.6494751,-194.9408417,-547.190918,-542.6010132,-540.3440552,-531.8389893,-557.2047729,-517.8846436,-510.3923035,-604.5181274,-595.0065918,-558.6105347,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
16,-589.1185303,-510.3923035,-569.6087036,-297.9428406,-648.1878052,-539.6464233,-198.6930084,-547.190918,-542.6010132,-540.3440552,-530.2772217,-557.2047729,-515.6534424,-510.3923035,-604.5183105,-557.9591064,-563.2721558,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
17,-589.1185303,-510.3923035,-563.8704224,-293.9562988,-648.1878052,-531.4361572,-199.0685577,-547.190918,-542.6010132,-540.3440552,-530.3980713,-557.2047729,-504.4511108,-510.3923035,-604.5183105,-549.1677246,-567.6993408,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
18,-589.1185303,-510.3923035,-561.3579102,-281.2148438,-648.1878052,-524.5935669,-198.3104706,-547.190918,-542.6010132,-540.3440552,-531.909668,-557.2047729,-492.6391907,-510.3923035,-604.5185547,-583.7340088,-567.7955322,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
19,-589.1185303,-510.3923035,-558.3369141,-277.893158,-648.1878052,-515.8912354,-198.4262238,-547.190918,-542.6010132,-540.3440552,-533.401062,-557.2047729,-486.2445679,-510.3923035,-604.5178223,-592.7077637,-568.6326294,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-566.0369263
20,-589.1185303,-510.3923035,-554.9373169,-283.5518494,-648.1878052,-511.2263794,-200.1254578,-547.190918,-542.6010132,-540.3440552,-529.0894775,-557.2047729,-481.5273132,-510.3923035,-604.5181274,-593.1721191,-570.0944824,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-564.4129639
21,-589.1185303,-510.3923035,-552.3763428,-283.7922058,-648.1878052,-505.8793945,-200.9737549,-547.190918,-542.6010132,-540.3440552,-529.6056519,-557.2047729,-475.2999268,-510.3923035,-604.5186157,-593.1716919,-573.0441895,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-509.5791016
22,-589.1185303,-510.3923035,-549.4911499,-289.8059998,-648.1878052,-501.3204956,-205.1934662,-547.190918,-542.6010132,-540.3440552,-529.9542236,-557.2047729,-473.0836487,-510.3923035,-604.5183105,-593.1724854,-577.7008057,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-440.1773376
23,-589.1185303,-510.3923035,-544.65271,-294.6141663,-648.1878052,-492.1124268,-205.085907,-547.190918,-542.6010132,-540.3440552,-526.039856,-557.2047729,-473.2305908,-510.3923035,-604.5187988,-593.1468506,-577.805481,-582.6642456,-550.7299805,-721.7767944,-678.5968018,-387.0614624
24,-589.1185303,-510.3923035,-519.2907104,-294.3735962,-648.1878052,-485.3960876,-206.6958008,-547.190918,-542.6010132,-540.3440552,-525.3718262,-557.2047729,-472.2776489,-510.3923035,-604.5175781,-593.171875,-576.7573242,-582.6642456,-550.7299805,-721.7767944,-676.6938477,-350.2867126
25,-589.1185303,-510.3923035,-489.912384,-293.9468079,-648.1878052,-483.3403931,-206.0379333,-547.190918,-542.6010132,-540.3440552,-523.0040894,-557.2047729,-472.9000549,-510.3923035,-604.5186157,-593.1721191,-578.6690674,-582.6642456,-550.7299805,-721.7767944,-672.706543,-332.6489563
26,-589.1185303,-510.3923035,-482.6636353,-293.2652283,-648.1878052,-477.8942566,-208.8108368,-547.190918,-542.6010132,-540.3440552,-519.6851807,-557.2047729,-470.0405579,-510.3923035,-604.5179443,-593.1724854,-577.5791016,-582.6642456,-550.7299805,-721.7767944,-672.6168213,-333.5624084
