,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces,_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell (1).wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz, no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor,_Op_74.wav","Trio for Piano, Flute and Bassoon.wav","What_shall_I_make_of_you,_Ephraim.wav",piano-concerto-no1-in-g-minor.wav
0,1870.701518,0,3728.782467,3324.532893,0,2640.076239,4659.979174,1850.10613,3530.807028,5764.146244,1188.382519,1188.382519,2669.487102,0,1335.564978,0,0,1899.46825,0
1,2100.210273,0,3867.284668,3125.784985,0,2568.973971,4024.191712,2066.618358,3389.695126,5687.303623,1204.545923,1204.545923,2908.820581,0,1406.577679,0,0,1673.981873,0
2,2412.044177,0,3859.701134,3188.244416,2243.282833,2601.386896,3414.849331,2302.563705,3264.981826,5422.60789,1329.535816,1329.535816,2746.037498,0,1519.333138,0,0,1682.085141,0
3,2668.942118,0,3660.035656,3211.074921,2230.551943,2559.451163,3034.194932,1971.94149,2848.415595,4992.14263,1309.370972,1309.370972,2305.014135,0,1485.400589,0,0,1900.183812,0
4,2653.713454,10147.87136,3855.314557,3064.272343,2219.055602,2393.228501,2932.065374,1881.198486,3093.465261,4519.615141,997.4109384,997.4109384,2085.92808,0,1533.809992,0,0,1921.541552,0
5,2523.207027,2311.789801,3764.624035,3053.436654,2051.339342,2361.178513,2924.983768,2147.087616,2809.55365,4153.334072,896.1538151,896.1538151,2135.589007,0,1658.634026,0,0,1852.76613,0
6,2379.023509,2280.589116,3639.929796,2830.717629,1967.701701,2529.041349,3074.228149,2315.724181,2554.888193,3998.667796,1113.382238,1113.382238,2127.835764,0,1552.338289,0,0,1904.268383,0
7,2289.864313,1766.140115,3828.253443,2906.555866,1899.046214,2412.573387,2712.135667,2060.17951,2639.151894,3725.436848,1288.525908,1288.525908,2108.845408,0,1519.981691,0,0,1897.163621,4236.895869
8,2421.388503,1740.777178,3741.241922,2905.133703,1704.45819,2332.116408,2352.259546,2067.851265,2896.899687,3589.614529,1125.750634,1125.750634,2146.578963,0,1721.741058,0,0,2210.304868,2595.037482
9,2463.046754,1774.454527,3744.756068,3123.797608,1499.487919,2435.051471,2268.041841,2195.776843,2503.16508,3277.316174,1015.054723,1015.054723,1962.044886,0,1670.638251,0,0,2612.334778,2874.380127
10,2406.354923,1887.300211,3717.542754,3407.994589,1417.161286,2443.725074,2477.520283,2404.993983,2270.786782,3330.702659,1234.774583,1234.774583,2064.140312,0,1657.487139,0,0,2848.974165,3000.158831
11,2436.210084,2131.907877,3696.710404,3264.125834,1320.106106,2317.693145,2490.650123,2415.551097,2425.856006,3261.903376,1250.659473,1250.659473,2544.990273,0,1665.856944,0,0,2915.680336,2848.910561
12,2589.322243,2061.308567,3779.808903,3167.021304,1202.093643,2278.386739,2285.876815,2118.918892,2654.111805,3006.802081,1017.270778,1017.270778,2548.313533,0,1611.321349,10050.66341,0,2760.586201,2773.753502
13,2557.405051,2268.677468,3858.563552,3081.071278,1089.010326,2255.508603,2487.125327,1944.036207,2492.825706,3059.128476,1013.75666,1013.75666,2022.62208,0,1618.311294,3689.152701,0,2794.136844,2735.364511
14,2536.553254,2296.375921,3761.259716,3116.947575,995.7862321,2587.507687,2486.777355,2063.79636,2096.164414,2988.145205,1098.72837,1098.72837,1981.787846,0,1687.983528,3575.571154,0,0,2737.692634
15,2594.86828,2227.124627,3708.821648,3070.972453,937.7676397,2327.102153,2594.644493,1905.34917,2510.669237,2836.890861,1233.306814,1233.306814,2053.705866,0,1747.892306,2853.006971,0,0,2861.844112
16,2738.968084,2233.17383,3758.37251,3159.653025,893.6100473,2101.868152,2435.101632,1927.268144,3070.471079,2820.205852,1067.85868,1067.85868,2022.524002,0,1821.609562,2763.812357,0,0,3123.473397
17,2643.607606,2199.571179,3864.465823,3265.603183,968.2906345,2247.657769,2175.617441,1952.863991,3103.7682,2692.563286,1102.905903,1102.905903,1963.896152,0,1809.908024,2651.642394,0,0,2835.372658
18,2329.67093,2365.084635,3738.513218,3330.2791,942.3450111,3436.855391,2304.104912,2151.507904,2325.419443,2514.19199,1134.293679,1134.293679,1842.696847,0,2059.747626,2746.178522,0,0,2819.333267
19,2147.01327,2545.646331,3532.567755,3342.576668,966.4728115,3509.621672,2639.602651,2271.902388,2125.336583,2470.621849,1393.393117,1393.393117,2081.880147,0,1992.930359,2614.061243,0,0,2883.034905
20,2336.388514,2462.572113,3570.771017,3413.171357,956.1206902,2284.798043,2614.733418,2153.076485,1836.282688,2484.771645,1304.127379,1304.127379,2470.095881,4952.853103,1783.647887,2605.771446,0,0,3225.520225
21,2373.150854,2276.181986,3587.812578,3332.062939,846.1874671,2228.59416,2331.487076,2228.248873,1802.733662,2508.649843,1138.501697,1138.501697,2365.22264,3906.020856,1743.159473,2571.952447,0,0,3318.618337
