,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell.wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor_Op_74.wav","Trio for Piano Flute and Bassoon.wav","What_shall_I_make_of_you_Ephraim.wav",piano-concerto-no1-in-g-minor.wav,IA_AnotherRag.wav,IA_Bach.wav,IA_Beethoven.wav,IA_Breathless.wav,IA_Chopin.wav,IA_ComingHome.wav,IA_FromTheWillowsKeep.wav,IA_InventionNo1.wav,IA_InventionNo2.wav,IA_InventionNo3.wav,IA_Mahler.wav,IA_Mazurka.wav,IA_Messiaen.wav,IA_Mozart.wav,IA_MozartActI.wav,IA_MozartActII.wav,IA_Prescience.wav,IA_SonataI.wav,IA_SonataII.wav
0,1870.701518,0,3728.782467,3324.532893,0,2640.076239,4659.979174,1850.10613,3530.807028,5764.146244,1188.382519,1188.382519,2669.487102,0,1335.564978,0,0,1899.46825,0,0,0,0,0,0,0,2240.146146,0,0,0,0,0,0,0,1632.103183,0,0,0,0
1,2100.210273,0,3867.284668,3125.784985,0,2568.973971,4024.191712,2066.618358,3389.695126,5687.303623,1204.545923,1204.545923,2908.820581,0,1406.577679,0,0,1673.981873,0,0,0,0,0,0,2272.192586,2859.446721,0,0,0,0,0,0,0,1287.510977,0,0,0,0
2,2412.044177,0,3859.701134,3188.244416,2243.282833,2601.386896,3414.849331,2302.563705,3264.981826,5422.60789,1329.535816,1329.535816,2746.037498,0,1519.333138,0,0,1682.085141,0,0,0,0,1270.051129,0,2107.619448,2576.419565,0,0,0,0,0,0,0,990.8304046,0,1788.244812,0,0
3,2668.942118,0,3660.035656,3211.074921,2230.551943,2559.451163,3034.194932,1971.94149,2848.415595,4992.14263,1309.370972,1309.370972,2305.014135,0,1485.400589,0,0,1900.183812,0,0,0,0,1236.939881,0,2368.460622,2298.8853,0,0,0,0,0,0,0,491.4723741,0,1423.15683,0,0
4,2653.713454,10147.87136,3855.314557,3064.272343,2219.055602,2393.228501,2932.065374,1881.198486,3093.465261,4519.615141,997.4109384,997.4109384,2085.92808,0,1533.809992,0,0,1921.541552,0,0,0,0,1165.040091,0,2525.740846,2105.970977,0,0,0,3444.789796,0,2949.242886,0,402.744678,0,1353.859527,0,0
5,2523.207027,2311.789801,3764.624035,3053.436654,2051.339342,2361.178513,2924.983768,2147.087616,2809.55365,4153.334072,896.1538151,896.1538151,2135.589007,0,1658.634026,0,0,1852.76613,0,0,0,3861.206616,1091.782163,0,2560.316453,2148.437265,0,0,0,2335.676368,0,1949.71169,0,397.2461967,0,1175.36217,0,0
6,2379.023509,2280.589116,3639.929796,2830.717629,1967.701701,2529.041349,3074.228149,2315.724181,2554.888193,3998.667796,1113.382238,1113.382238,2127.835764,0,1552.338289,0,0,1904.268383,0,0,0,3773.990101,1063.733786,0,2576.886783,2146.728017,0,0,0,1655.448598,0,1525.832908,0,381.7373129,0,1029.984077,0,0
7,2289.864313,1766.140115,3828.253443,2906.555866,1899.046214,2412.573387,2712.135667,2060.17951,2639.151894,3725.436848,1288.525908,1288.525908,2108.845408,0,1519.981691,0,0,1897.163621,4236.895869,0,0,3490.658346,1072.239107,0,2438.911671,2106.867575,0,0,0,1287.456509,0,1367.70665,0,379.8096965,0,1015.720576,0,0
8,2421.388503,1740.777178,3741.241922,2905.133703,1704.45819,2332.116408,2352.259546,2067.851265,2896.899687,3589.614529,1125.750634,1125.750634,2146.578963,0,1721.741058,0,0,2210.304868,2595.037482,0,0,2749.886101,1139.632793,0,2289.297496,2146.280374,0,0,0,1006.754249,0,1194.184334,0,386.822032,0,1116.632863,0,0
9,2463.046754,1774.454527,3744.756068,3123.797608,1499.487919,2435.051471,2268.041841,2195.776843,2503.16508,3277.316174,1015.054723,1015.054723,1962.044886,0,1670.638251,0,0,2612.334778,2874.380127,0,0,2171.172794,1252.903977,0,2343.522797,2129.353618,0,0,0,931.9611102,0,1098.168587,0,389.5481221,0,1027.790107,0,0
10,2406.354923,1887.300211,3717.542754,3407.994589,1417.161286,2443.725074,2477.520283,2404.993983,2270.786782,3330.702659,1234.774583,1234.774583,2064.140312,0,1657.487139,0,0,2848.974165,3000.158831,0,0,1824.205985,1285.057232,0,2505.027065,2139.752515,0,0,0,929.185278,0,1082.139282,0,393.0254136,0,926.4205343,0,0
11,2436.210084,2131.907877,3696.710404,3264.125834,1320.106106,2317.693145,2490.650123,2415.551097,2425.856006,3261.903376,1250.659473,1250.659473,2544.990273,0,1665.856944,0,0,2915.680336,2848.910561,0,0,1542.652679,1280.487691,0,2603.906683,2113.040847,0,0,0,908.435797,0,1076.404916,0,388.7249712,0,907.112184,0,0
12,2589.322243,2061.308567,3779.808903,3167.021304,1202.093643,2278.386739,2285.876815,2118.918892,2654.111805,3006.802081,1017.270778,1017.270778,2548.313533,0,1611.321349,10050.66341,0,2760.586201,2773.753502,0,0,1333.566436,1243.880313,0,2763.458188,2159.664069,0,0,0,837.7460563,0,1049.913225,0,386.663378,0,915.8503541,0,0
13,2557.405051,2268.677468,3858.563552,3081.071278,1089.010326,2255.508603,2487.125327,1944.036207,2492.825706,3059.128476,1013.75666,1013.75666,2022.62208,0,1618.311294,3689.152701,0,2794.136844,2735.364511,0,0,1210.019799,1216.293692,0,2786.927948,2164.936037,0,0,0,777.1346251,0,1071.859488,0,398.0619035,0,951.7764398,0,0
14,2536.553254,2296.375921,3761.259716,3116.947575,995.7862321,2587.507687,2486.777355,2063.79636,2096.164414,2988.145205,1098.72837,1098.72837,1981.787846,0,1687.983528,3575.571154,0,0,2737.692634,0,0,1151.773345,1050.236297,0,2753.34271,2128.850365,0,0,0,746.4757842,0,1058.19061,0,399.2711326,0,1050.434332,0,0
15,2594.86828,2227.124627,3708.821648,3070.972453,937.7676397,2327.102153,2594.644493,1905.34917,2510.669237,2836.890861,1233.306814,1233.306814,2053.705866,0,1747.892306,2853.006971,0,0,2861.844112,0,0,1086.189543,987.5112409,0,2790.595133,2127.062953,0,0,0,734.2821692,0,1045.344773,0,371.9518534,1556.943467,1047.51284,0,0
16,2738.968084,2233.17383,3758.37251,3159.653025,893.6100473,2101.868152,2435.101632,1927.268144,3070.471079,2820.205852,1067.85868,1067.85868,2022.524002,0,1821.609562,2763.812357,0,0,3123.473397,0,0,1007.961058,959.5106422,0,2877.018284,2118.230343,0,0,0,735.1927543,0,1040.51758,0,380.3582081,1182.217734,1014.798599,0,0
17,2643.607606,2199.571179,3864.465823,3265.603183,968.2906345,2247.657769,2175.617441,1952.863991,3103.7682,2692.563286,1102.905903,1102.905903,1963.896152,0,1809.908024,2651.642394,0,0,2835.372658,0,0,974.2279313,904.6814891,0,2881.629679,2167.581496,0,0,0,770.2026222,0,967.4875538,0,375.0428052,919.7939742,946.6599996,0,0
18,2329.67093,2365.084635,3738.513218,3330.2791,942.3450111,3436.855391,2304.104912,2151.507904,2325.419443,2514.19199,1134.293679,1134.293679,1842.696847,0,2059.747626,2746.178522,0,0,2819.333267,0,0,993.2567239,967.6072528,0,2775.897637,2156.388176,0,0,0,798.437355,0,962.4421144,0,369.8146892,473.1407397,896.5796656,0,0
19,2147.01327,2545.646331,3532.567755,3342.576668,966.4728115,3509.621672,2639.602651,2271.902388,2125.336583,2470.621849,1393.393117,1393.393117,2081.880147,0,1992.930359,2614.061243,0,0,2883.034905,0,0,1058.485387,1022.630282,0,2740.979518,2127.618576,0,0,0,795.9723641,0,995.8598077,0,378.4520517,365.2164493,891.1955874,0,0
20,2336.388514,2462.572113,3570.771017,3413.171357,956.1206902,2284.798043,2614.733418,2153.076485,1836.282688,2484.771645,1304.127379,1304.127379,2470.095881,4952.853103,1783.647887,2605.771446,0,0,3225.520225,0,0,1062.524174,1041.287035,0,2807.810162,2142.414762,0,0,0,803.3793124,0,1019.928386,0,629.1908698,348.4605217,873.5381242,0,0
21,2373.150854,2276.181986,3587.812578,3332.062939,846.1874671,2228.59416,2331.487076,2228.248873,1802.733662,2508.649843,1138.501697,1138.501697,2365.22264,3906.020856,1743.159473,2571.952447,0,0,3318.618337,0,0,1049.627654,956.1698093,0,2859.159702,2084.629123,0,0,0,797.6051374,0,1029.131801,0,732.3352456,563.7638628,859.8902449,0,0
22,2247.47653,2630.816473,3564.915033,3385.546366,831.2807304,2499.087299,2303.211957,2289.637495,1858.729474,2395.07264,970.0164802,970.0164802,2176.605453,3307.751229,1115.273144,2550.178535,0,0,3139.7066,0,0,989.6897584,963.0012396,0,2940.939834,2113.729501,0,0,0,815.6583499,0,1038.222929,0,410.8840552,775.8241969,817.5831724,0,0
23,2260.36452,2580.39037,3556.636106,3250.444299,877.814685,2561.269237,2391.433349,2414.380839,1694.447869,2304.899572,961.9539515,961.9539515,2156.487989,2862.507707,1112.50344,2638.178793,0,0,3224.139389,0,0,905.9207937,1026.547706,0,2668.16016,2091.037134,0,0,0,856.9277834,0,1051.858859,0,372.0217763,425.587859,813.6613141,0,0
24,2404.969216,1927.028689,3499.702161,3157.093058,1075.958545,2458.429659,2594.263389,2412.22399,1992.784223,2322.183006,993.248496,993.248496,1970.738042,2504.59895,1442.215369,2687.938315,0,0,2986.682692,0,0,843.9931408,995.5475203,0,2494.772159,2143.890046,0,0,0,888.884284,0,1036.608053,0,381.7583051,324.5932319,826.0228198,0,0
25,2431.337435,1487.280484,3363.752709,2992.368799,1056.140719,2381.225502,2481.903919,2246.053327,2010.500955,2353.334902,1152.87801,1152.87801,1787.336837,2460.586936,1438.810319,2714.094825,0,0,2912.13345,0,0,789.8450485,1019.100296,0,2510.767657,2132.303295,0,0,0,905.6186655,0,1016.981451,0,362.7810105,340.4049128,835.6988664,0,0
26,2442.051722,1635.034216,2978.575296,3107.369703,980.0323485,2487.198748,2234.670272,2363.248868,1835.761115,2282.437736,1588.551664,1588.551664,1637.273728,2182.732251,1492.496586,2576.250916,0,0,2753.646483,0,0,767.5399289,1016.948822,0,2734.134062,2092.857132,0,0,0,924.7436183,0,967.5005689,0,363.4507543,336.8289836,799.6083799,0,0
27,2550.672993,1588.12049,3059.352384,3137.636892,973.930327,2314.333731,2098.212205,2472.846114,1731.000885,2170.678893,1434.96645,1434.96645,1855.010876,2217.774619,1781.407356,2744.823433,0,0,3006.23956,0,0,740.2578096,1050.971072,0,2913.356657,2064.225912,0,0,5122.618104,938.2199343,0,941.8978802,0,372.9483958,331.8826452,791.9111585,0,1646.630817
28,2666.190238,1586.034697,2597.583385,3168.131527,1013.843076,2419.158469,2227.504088,2492.946391,1864.768632,2364.643139,907.4452843,907.4452843,2366.334123,2294.763043,1756.633336,2866.997818,0,0,3217.450464,1955.435908,0,717.429543,1057.228209,0,2900.168723,2091.978666,0,1812.451877,1581.416378,948.0975827,2035.708439,941.5136775,0,609.0478392,709.7873834,837.5301015,2035.69904,1310.457578
29,2310.166948,1654.527229,1742.02906,3418.325911,999.4409795,2522.0536,2222.794986,2327.908542,1791.484857,2364.503094,893.8175305,893.8175305,2598.506189,2133.710343,1572.643589,2649.7008,0,0,3089.538044,1819.88299,0,704.481547,1034.768127,0,2922.149229,2110.242992,0,1022.893321,984.9772471,970.4821659,1663.995925,976.3233701,0,1382.183807,1124.389575,894.6863023,1431.1973,1007.630236
30,2495.156661,1746.040804,1517.224619,2790.363458,960.5073232,2594.635506,2229.207492,2089.454845,1768.655418,2301.925851,964.8040509,964.8040509,1981.345327,2031.621827,1515.138106,2322.527048,0,0,2939.195848,1267.002315,0,738.5460205,1075.864124,0,2806.112332,2124.882499,1113.849247,1026.311124,632.8545124,1007.385319,1617.302211,995.0099935,0,1869.121262,1624.79089,905.7238571,1285.708708,530.8476304
31,2358.13844,1761.02834,1470.918282,2756.829952,937.585106,2462.045066,2338.351053,1947.992919,1797.949699,2274.07629,984.0531095,984.0531095,1444.349457,2051.195667,1461.70844,2431.310878,0,0,2745.474974,977.336552,0,735.4446495,1113.360036,0,2718.824148,2108.516404,642.175508,1104.652516,557.2464342,1022.904749,1089.598902,983.1831165,0,2366.305793,2946.530721,993.5944591,1206.514423,479.7256264
32,2161.317779,1819.265534,1516.384002,2844.285342,906.8287819,2426.629993,2549.856477,2037.991856,2025.551303,2440.546781,1002.672438,1002.672438,1280.739835,2024.432384,1434.890219,2114.362502,0,0,2609.065359,787.8279916,0,747.4551497,1141.43162,0,2668.95806,2123.839223,763.3838914,921.5410666,548.7309876,927.8831529,1094.777793,1041.335626,0,2431.242651,3063.335776,1051.958079,1107.19854,471.7186286
33,2059.464258,1648.954053,1636.745408,2546.407399,893.1978664,2294.360405,2303.728407,1981.740799,1905.733472,2302.989233,946.085312,946.085312,1197.011742,1870.75537,1495.308453,2057.296139,0,0,2742.331644,996.6796431,0,767.5645522,1231.453752,0,2719.201787,2097.555743,784.5366186,795.6580271,687.0057733,863.2550245,1222.164369,1091.952569,0,2479.691388,2890.478129,1092.989557,987.7388277,484.2439099
34,2077.862418,1379.463521,1820.44883,2556.397909,882.216669,2452.981454,2388.49696,1914.713847,1877.198501,2029.440796,1053.305056,1053.305056,1265.498534,1792.490066,1405.153579,2361.766576,0,0,3043.367271,968.7342551,0,757.7987912,1211.115926,0,2725.881558,2101.803507,846.4628117,726.6976186,727.2535434,797.8523114,1237.422313,1090.734199,0,2709.375009,2377.856196,1072.955379,911.5503892,507.7652407
35,1976.229853,1249.687325,1906.072382,2822.357762,872.3668586,2367.154451,2588.865771,1920.331472,2081.571673,2016.26276,879.2825032,879.2825032,1256.832034,2171.278925,1368.819637,2051.575025,0,0,2932.650515,880.8971424,0,771.2472323,1247.062211,0,2728.118079,2152.135965,786.4993165,718.2210898,646.818,761.1039238,1436.832747,1130.18912,0,2506.664732,2203.403423,1089.574732,910.7940933,599.1250601
36,1938.030823,1416.112605,1983.766517,2971.899805,846.966479,2257.869619,2546.370622,1885.410799,2191.129924,2229.248552,1075.823699,1075.823699,1276.061723,2120.204318,1460.008114,2058.487472,0,2835.161242,2867.806013,827.7697011,0,786.2093118,1295.87594,0,2789.378125,2163.365473,585.0760342,668.5859082,603.4878871,727.0806741,927.5491882,1144.837431,0,2118.704828,2424.750511,1136.762797,919.7141158,691.2537061
37,2217.036911,1450.751418,1906.47104,2922.070388,833.3831724,2431.255849,2413.603926,1861.967624,2006.586046,2411.919631,1364.108227,1364.108227,1231.682336,1915.793158,1604.254818,1967.196087,0,2331.952573,2824.614268,798.6825749,0,742.1236352,1331.787811,0,2805.641556,2146.341127,592.0472822,635.1115428,591.4680242,725.5409392,653.489464,1121.66813,0,2323.598818,2645.463917,1168.49325,923.3933868,588.1509197
38,2381.61637,1533.173556,1912.722458,2954.711497,814.1438748,2695.507602,2127.604298,1721.213443,2012.708731,2350.666012,1727.71926,1727.71926,1257.599103,1928.739688,1627.967676,1850.98712,0,2612.757688,2743.951772,811.2936657,0,705.2865586,1433.319139,0,2736.093239,2110.132327,590.2849888,639.6461632,573.9408698,733.1817573,665.9991368,1089.534335,0,2944.869975,2581.562708,1286.384815,931.0001846,531.7391063
39,2564.392616,1563.941828,1972.52191,2586.501805,798.1626279,2433.889978,2273.008787,1708.397024,2112.151455,2234.534236,1399.273195,1399.273195,1297.936339,2015.446917,1447.053454,2070.960833,0,3103.92405,2765.825589,855.4907721,0,694.8177612,1565.892924,0,2809.81618,2148.357509,568.7981153,620.4937246,592.1038143,743.8148072,665.9034685,1085.2376,0,3122.453638,2033.32162,1882.463266,942.0157389,482.2817548
40,2442.16517,1576.829614,1940.689024,2792.725804,764.8761339,2130.826266,2252.059257,1822.2487,1988.44271,2087.80476,1221.899251,1221.899251,1270.585187,2072.971661,1325.3816,1650.558682,0,3371.851052,2682.009914,880.3510873,0,722.5044428,1694.271217,0,2903.893219,2127.23893,574.5392317,622.6980518,573.3638772,743.515439,662.0207159,1131.093596,0,2818.626267,1965.523385,1933.621935,926.2426172,463.7163464
41,2379.065642,1316.772605,2015.459779,2801.415805,743.1812012,2336.580753,2287.175121,1817.092307,2102.020728,2196.479894,1093.215497,1093.215497,1246.304349,1880.109531,1404.357933,1613.146327,10312.03666,3394.193407,2482.832209,893.0895229,0,784.7620524,1708.338947,0,2740.41592,2165.469994,604.7172588,594.6529602,542.7505693,734.7808026,686.3177688,1162.413315,0,2594.330149,2228.053108,1815.802774,912.0931557,465.0007827
