"ï..No.","Test.tipo","Edad","Sexo","n.filas.respondidas","Respuestas","Aciertos","Errores","Omisiones","IGAP","CC","ICI"
1,1,29,"F",12,107,107,0,13,94,0.891666667,100
2,1,17,"F",26,208,206,2,52,152,0.790697674,98.07692308
3,1,21,"M",10,94,92,2,6,84,0.918367347,95.74468085
4,1,22,"F",18,168,164,4,12,148,0.909090909,95.23809524
5,1,23,"F",23,171,169,2,59,108,0.73245614,97.66081871
8,1,21,"F",32,139,139,0,181,-42,0.434375,100
9,1,24,"F",34,240,237,3,100,134,0.694362018,97.5
10,1,18,"M",20,169,169,0,31,138,0.845,100
11,1,22,"M",23,155,153,2,75,76,0.662280702,97.41935484
12,1,20,"M",23,210,208,2,20,186,0.903508772,98.0952381
13,1,17,"M",18,132,131,1,48,82,0.726256983,98.48484848
14,1,19,"M",27,128,126,2,142,-18,0.462686567,96.875
15,1,23,"M",21,181,177,4,29,144,0.839805825,95.5801105
16,1,22,"M",24,159,159,0,81,78,0.6625,100
17,1,26,"M",32,219,217,2,101,114,0.676100629,98.17351598
18,1,15,"F",17,137,137,0,33,104,0.805882353,100
19,1,25,"M",26,189,188,1,71,116,0.722007722,98.94179894
21,1,17,"M",10,88,88,0,12,76,0.88,100
43,1,23,"F",34,200,200,0,140,60,0.588235294,100
44,1,20,"M",28,107,106,1,173,-68,0.376344086,98.13084112
45,1,18,"M",21,208,205,3,2,200,0.975845411,97.11538462
46,1,22,"M",18,157,157,0,23,134,0.872222222,100
47,1,28,"M",15,69,69,0,81,-12,0.46,100
48,1,26,"M",22,186,186,0,34,152,0.845454545,100
49,1,15,"F",15,118,118,0,32,86,0.786666667,100
50,1,20,"M",18,172,172,0,8,164,0.955555556,100
51,1,17,"M",19,165,165,0,25,140,0.868421053,100
