"ï..No.","Test.tipo","Edad","Sexo","n.filas.respondidas","Respuestas","Aciertos","Errores","Omisiones","IGAP","CC","ICI"
22,2,22,"M",24,189,188,1,78,109,0.703007519,98.94179894
24,2,25,"M",30,277,277,0,322,-45,0.462437396,100
25,2,17,"M",24,163,161,2,104,55,0.6,97.54601227
26,2,17,"M",21,171,170,1,62,107,0.728448276,98.83040936
28,2,22,"M",26,163,156,7,104,45,0.573076923,91.41104294
30,2,20,"M",21,213,213,0,20,193,0.91416309,100
31,2,26,"M",33,271,271,0,95,176,0.740437158,100
32,2,21,"M",10,112,110,2,0,108,0.981818182,96.42857143
33,2,20,"M",24,229,218,11,38,169,0.80859375,90.3930131
34,2,23,"F",24,155,151,4,112,35,0.558935361,94.83870968
35,2,19,"M",13,51,48,3,82,-37,0.346153846,88.23529412
36,2,23,"M",31,201,198,3,142,53,0.573529412,97.01492537
37,2,17,"F",28,251,251,0,59,192,0.809677419,100
38,2,22,"F",23,194,193,1,62,130,0.752941176,98.96907216
39,2,21,"F",31,150,149,1,193,-45,0.432748538,98.66666667
40,2,29,"F",20,172,172,0,50,122,0.774774775,100
41,2,15,"F",21,175,174,1,58,115,0.745689655,98.85714286
42,2,24,"F",29,283,281,2,60,219,0.818181818,98.58657244
52,2,23,"F",38,247,247,0,171,76,0.590909091,100
53,2,20,"M",27,232,232,0,67,165,0.775919732,100
54,2,17,"M",14,114,113,1,39,73,0.736842105,98.24561404
56,2,15,"F",21,215,213,2,18,193,0.913419913,98.13953488
57,2,20,"M",16,170,170,0,-6,176,1.036585366,100
58,2,26,"M",26,199,196,3,88,105,0.679577465,96.98492462
59,2,18,"M",23,230,230,0,26,204,0.8984375,100
60,2,28,"M",17,119,118,1,68,49,0.629032258,98.31932773
