ï..No.,Test.tipo,Edad,Sexo,n.filas.respondidas,Respuestas,Aciertos,Errores,Omisiones,IGAP,CC,ICI,ï..No.,Test.tipo,EdadIA,SexoIA,n.filas.respondidasIA,RespuestasIA,AciertosIA,ErroresIA,OmisionesIA,IGAP_IA,CC_IA,ICI_IA
22,2,22,M,24,189,188,1,78,109,0.703007519,98.94179894,1,1,29,F,12,107,107,0,13,94,0.891666667,100
24,2,25,M,30,277,277,0,322,-45,0.462437396,100,2,1,17,F,26,208,206,2,52,152,0.790697674,98.07692308
25,2,17,M,24,163,161,2,104,55,0.6,97.54601227,3,1,21,M,10,94,92,2,6,84,0.918367347,95.74468085
26,2,17,M,21,171,170,1,62,107,0.728448276,98.83040936,4,1,22,F,18,168,164,4,12,148,0.909090909,95.23809524
28,2,22,M,26,163,156,7,104,45,0.573076923,91.41104294,5,1,23,F,23,171,169,2,59,108,0.73245614,97.66081871
30,2,20,M,21,213,213,0,20,193,0.91416309,100,8,1,21,F,32,139,139,0,181,-42,0.434375,100
31,2,26,M,33,271,271,0,95,176,0.740437158,100,9,1,24,F,34,240,237,3,100,134,0.694362018,97.5
32,2,21,M,10,112,110,2,0,108,0.981818182,96.42857143,10,1,18,M,20,169,169,0,31,138,0.845,100
33,2,20,M,24,229,218,11,38,169,0.80859375,90.3930131,11,1,22,M,23,155,153,2,75,76,0.662280702,97.41935484
34,2,23,F,24,155,151,4,112,35,0.558935361,94.83870968,12,1,20,M,23,210,208,2,20,186,0.903508772,98.0952381
35,2,19,M,13,51,48,3,82,-37,0.346153846,88.23529412,13,1,17,M,18,132,131,1,48,82,0.726256983,98.48484848
36,2,23,M,31,201,198,3,142,53,0.573529412,97.01492537,14,1,19,M,27,128,126,2,142,-18,0.462686567,96.875
37,2,17,F,28,251,251,0,59,192,0.809677419,100,15,1,23,M,21,181,177,4,29,144,0.839805825,95.5801105
38,2,22,F,23,194,193,1,62,130,0.752941176,98.96907216,16,1,22,M,24,159,159,0,81,78,0.6625,100
39,2,21,F,31,150,149,1,193,-45,0.432748538,98.66666667,17,1,26,M,32,219,217,2,101,114,0.676100629,98.17351598
40,2,29,F,20,172,172,0,50,122,0.774774775,100,18,1,15,F,17,137,137,0,33,104,0.805882353,100
41,2,15,F,21,175,174,1,58,115,0.745689655,98.85714286,19,1,25,M,26,189,188,1,71,116,0.722007722,98.94179894
42,2,24,F,29,283,281,2,60,219,0.818181818,98.58657244,21,1,17,M,10,88,88,0,12,76,0.88,100
52,2,23,F,38,247,247,0,171,76,0.590909091,100,43,1,23,F,34,200,200,0,140,60,0.588235294,100
53,2,20,M,27,232,232,0,67,165,0.775919732,100,44,1,20,M,28,107,106,1,173,-68,0.376344086,98.13084112
54,2,17,M,14,114,113,1,39,73,0.736842105,98.24561404,45,1,18,M,21,208,205,3,2,200,0.975845411,97.11538462
56,2,15,F,21,215,213,2,18,193,0.913419913,98.13953488,46,1,22,M,18,157,157,0,23,134,0.872222222,100
57,2,20,M,16,170,170,0,-6,176,1.036585366,100,47,1,28,M,15,69,69,0,81,-12,0.46,100
58,2,26,M,26,199,196,3,88,105,0.679577465,96.98492462,48,1,26,M,22,186,186,0,34,152,0.845454545,100
59,2,18,M,23,230,230,0,26,204,0.8984375,100,49,1,15,F,15,118,118,0,32,86,0.786666667,100
60,2,28,M,17,119,118,1,68,49,0.629032258,98.31932773,50,1,20,M,18,172,172,0,8,164,0.955555556,100
,,,,,,,,,,,,51,1,17,M,19,165,165,0,25,140,0.868421053,100
